id,booking_status_pred,Cancellation_prob
42100,0,0.08057949
42101,0,0.03471389
42102,0,0.40284136
42103,0,0.16935329
42104,1,0.5117791
42105,1,0.69298345
42106,1,0.5057226
42107,1,0.7124653
42108,0,1.4434006e-06
42109,1,0.5315174
42110,1,0.72855335
42111,0,0.312442
42112,0,0.3597522
42113,0,0.19158544
42114,0,0.31468245
42115,1,0.77404714
42116,0,0.07958821
42117,0,0.25308576
42118,1,0.9058696
42119,1,0.8993303
42120,1,0.9160998
42121,0,0.24257971
42122,0,0.002241633
42123,1,0.6824294
42124,1,0.8941726
42125,0,0.014258492
42126,0,4.8780213e-30
42127,0,0.009859245
42128,0,0.30033097
42129,1,0.6012369
42130,1,0.86409724
42131,0,0.3350053
42132,0,0.4913876
42133,1,0.96789294
42134,0,0.43711713
42135,0,6.456433e-13
42136,0,0.047058467
42137,1,0.6060447
42138,1,0.6854843
42139,1,0.90917575
42140,0,0.0066408296
42141,0,0.15871747
42142,0,0.4888856
42143,1,0.89667386
42144,0,0.08930867
42145,1,0.82509995
42146,0,0.055509824
42147,1,0.88687474
42148,1,0.7076474
42149,1,0.51775247
42150,0,0.41611627
42151,1,0.77979225
42152,1,0.8163832
42153,0,0.22264178
42154,1,0.5285849
42155,0,0.4535243
42156,0,0.31498045
42157,0,0.0031226792
42158,0,0.31782725
42159,1,0.8193104
42160,1,0.57320833
42161,0,4.366919e-05
42162,0,0.047764637
42163,0,0.049981546
42164,1,0.80123204
42165,0,0.49463564
42166,1,0.7667635
42167,0,3.3379084e-09
42168,1,0.66460747
42169,1,0.7863326
42170,0,0.020078992
42171,0,0.42422137
42172,0,0.2103395
42173,1,0.8445628
42174,0,0.07788178
42175,0,0.3559772
42176,1,0.9052085
42177,0,0.19973013
42178,0,0.027885351
42179,1,0.901876
42180,1,0.78469825
42181,1,0.66079545
42182,1,0.72806543
42183,0,0.32728913
42184,0,0.039902747
42185,0,0.13250752
42186,0,0.1379693
42187,0,0.36514038
42188,0,0.010039835
42189,0,0.18537171
42190,0,0.13787201
42191,0,0.33162534
42192,0,0.28677797
42193,0,0.13177842
42194,0,0.35396895
42195,1,0.9175397
42196,1,0.8330626
42197,0,0.45157632
42198,1,0.68900037
42199,1,0.6424159
42200,1,0.5699566
42201,1,0.61467624
42202,1,0.5245937
42203,0,0.24745798
42204,1,0.79401505
42205,0,0.13071686
42206,0,0.0050801043
42207,1,0.7048235
42208,0,0.07088376
42209,0,0.17241491
42210,0,0.18594539
42211,0,0.21705441
42212,0,0.24640578
42213,1,0.8953286
42214,1,0.83520156
42215,0,0.21035546
42216,1,0.8010438
